name;capital;largest city;population;flag
Alabama;Montgomery;Birmingham;4903185;american_states/Flag_of_Alabama.EXTENSION
Alaska;Juneau;Anchorage;731545;american_states/Flag_of_Alaska.EXTENSION
Arizona;Phoenix;Phoenix;7278717;american_states/Flag_of_Arizona.EXTENSION
Arkansas;Little Rock;Little Rock;3017804;american_states/Flag_of_Arkansas.EXTENSION
California;Sacramento;Los Angeles;39512223;american_states/Flag_of_California.EXTENSION
Colorado;Denver;Denver;5758736;american_states/Flag_of_Colorado.EXTENSION
Connecticut;Hartford;Bridgeport;3565278;american_states/Flag_of_Connecticut.EXTENSION
Delaware;Dover;Wilmington;973764;american_states/Flag_of_Delaware.EXTENSION
Florida;Tallahassee;Jacksonville;21477737;american_states/Flag_of_Florida.EXTENSION
Georgia;Atlanta;Atlanta;10617423;american_states/Flag_of_Georgia.EXTENSION
Hawaii;Honolulu;Honolulu;1415872;american_states/Flag_of_Hawaii.EXTENSION
Idaho;Boise;Boise;1787065;american_states/Flag_of_Idaho.EXTENSION
Illinois;Springfield;Chicago;12671821;american_states/Flag_of_Illinois.EXTENSION
Indiana;Indianapolis;Indianapolis;6732219;american_states/Flag_of_Indiana.EXTENSION
Iowa;Des Moines;Des Moines;3155070;american_states/Flag_of_Iowa.EXTENSION
Kansas;Topeka;Wichita;2913314;american_states/Flag_of_Kansas.EXTENSION
Kentucky;Frankfort;Louisville;4467673;american_states/Flag_of_Kentucky.EXTENSION
Louisiana;Baton Rouge;New Orleans;4648794;american_states/Flag_of_Louisiana.EXTENSION
Maine;Augusta;Portland;1344212;american_states/Flag_of_Maine.EXTENSION
Maryland;Annapolis;Baltimore;6045680;american_states/Flag_of_Maryland.EXTENSION
Massachusetts;Boston;Boston;6892503;american_states/Flag_of_Massachusetts.EXTENSION
Michigan;Lansing;Detroit;9986857;american_states/Flag_of_Michigan.EXTENSION
Minnesota;St. Paul;Minneapolis;5639632;american_states/Flag_of_Minnesota.EXTENSION
Mississippi;Jackson;Jackson;2976149;american_states/Flag_of_Mississippi.EXTENSION
Missouri;Jefferson City;Kansas City;6137428;american_states/Flag_of_Missouri.EXTENSION
Montana;Helena;Billings;1068778;american_states/Flag_of_Montana.EXTENSION
Nebraska;Lincoln;Omaha;1934408;american_states/Flag_of_Nebraska.EXTENSION
Nevada;Carson City;Las Vegas;3080156;american_states/Flag_of_Nevada.EXTENSION
New Hampshire;Concord;Manchester;1359711;american_states/Flag_of_New_Hampshire.EXTENSION
New Jersey;Trenton;Newark;8882190;american_states/Flag_of_New_Jersey.EXTENSION
New Mexico;Santa Fe;Albuquerque;2096829;american_states/Flag_of_New_Mexico.EXTENSION
New York;Albany;New York City;19453561;american_states/Flag_of_New_York.EXTENSION
North Carolina;Raleigh;Charlotte;10488084;american_states/Flag_of_North_Carolina.EXTENSION
North Dakota;Bismarck;Fargo;762062;american_states/Flag_of_North_Dakota.EXTENSION
Ohio;Columbus;Columbus;11689100;american_states/Flag_of_Ohio.EXTENSION
Oklahoma;Oklahoma City;Oklahoma City;3956971;american_states/Flag_of_Oklahoma.EXTENSION
Oregon;Salem;Portland;4217737;american_states/Flag_of_Oregon.EXTENSION
Pennsylvania;Harrisburg;Philadelphia;12801989;american_states/Flag_of_Pennsylvania.EXTENSION
Rhode Island;Providence;Providence;1059361;american_states/Flag_of_Rhode_Island.EXTENSION
South Carolina;Columbia;Charleston;5148714;american_states/Flag_of_South_Carolina.EXTENSION
South Dakota;Pierre;Sioux Falls;884659;american_states/Flag_of_South_Dakota.EXTENSION
Tennessee;Nashville;Nashville;6829174;american_states/Flag_of_Tennessee.EXTENSION
Texas;Austin;Houston;28995881;american_states/Flag_of_Texas.EXTENSION
Utah;Salt Lake City;Salt Lake City;3205958;american_states/Flag_of_Utah.EXTENSION
Vermont;Montpelier;Burlington;623989;american_states/Flag_of_Vermont.EXTENSION
Virginia;Richmond;Virginia Beach;8535519;american_states/Flag_of_Virginia.EXTENSION
Washington;Olympia;Seattle;7614893;american_states/Flag_of_Washington.EXTENSION
West Virginia;Charleston;Charleston;1792147;american_states/Flag_of_West_Virginia.EXTENSION
Wisconsin;Madison;Milwaukee;5822434;american_states/Flag_of_Wisconsin.EXTENSION
Wyoming;Cheyenne;Cheyenne;578759;american_states/Flag_of_Wyoming.EXTENSION
